id	category	matched_actions	scene_id	persona_id	query
N024	相机	查询天气状况；跳转到相机界面	extreme_weather_shooting_guard	freelance_creator	今天有大风预警还要外拍，做个拍摄安全小组件，提醒天气和电量，能直接开相机。
N025	相机	跳转到相机界面；跳转去导航	spot_shooting_return	frequent_business_traveler	到景点想拍完就回酒店，做个行程卡片，能一键开相机，拍完直接导航回去。
N026	相机	查询天气状况	weather_location_shooting_decision	urban_fashion_woman	周末想拍穿搭，帮我做个取景卡片，结合当前位置和天气告诉我适不适合拍。
N027	相机	查询天气状况；跳转到相机界面	weather_photo_prep	urban_fashion_woman	中午要拍探店照片，做个拍照小组件，先看紫外线和温度，再快速打开相机。
N028	相机	跳转到相机界面	shooting_battery_check	teacher_trainer	下午要录一节公开课，帮我做个拍摄卡片，确认电量够不够，点一下直接进相机。
N029	相机	跳转到备忘录；查询天气状况；跳转到相机界面	photo_trip_check	college_exam_student	社团周末出去拍片，做个出行小组件，把天气、拍摄清单和相机入口放一起。
N030	相机	查询天气状况；跳转到相机界面	extreme_weather_shooting_guard	car_commuter	自驾去郊外拍照，做个外拍卡片，看看有没有天气预警和手机发热，能直接开相机。
N031	位置	跳转去导航	current_location_navigation	delivery_ride_worker	刚送完一单有点绕，帮我做个当前位置卡片，点一下就能导航去下一个地方。
N032	位置	跳转去导航；拨打电话	arrival_contact_navigation	field_sales_worker	到客户附近了，做个到访卡片，看看我离目的地还有多远，快到时能直接打电话。
N033	位置	拨打电话	low_battery_safety_contact	new_parent	带孩子出门时手机快没电了，做个安全联络卡片，能看当前位置，也能快速给家里打电话。
N034	位置	查询天气状况	weather_location_shooting_decision	freelance_creator	临时换了外拍地点，帮我做个地点参考卡片，结合我现在的位置和天气判断能不能拍。
N035	位置	跳转去导航	current_location_navigation	car_commuter	停车场太大找不到出口，帮我做个位置小组件，确认我在哪，点一下开始导航。
N036	位置	跳转去导航；拨打电话	arrival_contact_navigation	frequent_business_traveler	刚落地要去见客户，做个赴约卡片，能看现在在哪，到附近后直接联系对方。
N037	位置	拨打电话	low_battery_safety_contact	forgetful_living_senior	我一个人出门，手机又快没电了，帮我做个安全卡片，把位置和家人联系入口放在一起。
N038	位置	查询天气状况	weather_location_shooting_decision	urban_fashion_woman	周末想在附近拍照，做个取景小组件，看看我在哪、外面天气怎么样。
N039	位置	跳转去导航	current_location_navigation	short_trip_errand_user	临时来这边办事有点迷路，做个定位卡片，让我看到当前位置，点一下就能导航。
N040	位置	跳转去导航；拨打电话	arrival_contact_navigation	retired_senior	去医院复诊怕走错楼，帮我做个到院卡片，看看还有多远，找不到时能直接打电话。
N041	音乐	跳转音乐首页；跳转到每日30首和收藏页面	headset_music_shortcut	car_commuter	上车后不想再翻手机，帮我做个听歌卡片，看看耳机连上没，点一下进我收藏的歌单。
N042	音乐	跳转锻炼时长页；跳转到每日30首和收藏页面	sport_music_control	fitness_runner	跑步时不想来回切应用，做个运动音乐小组件，能看运动时间，也能直接进歌单。
N043	音乐	跳转音乐首页；跳转到每日30首和收藏页面；模式切换（免打扰、睡眠、学习）	music_focus_sleep	internet_overtime_worker	加班时想安静听点歌，帮我做个专注音乐卡片，能打开收藏歌单，也能顺手开免打扰。
N044	音乐	跳转到每日30首和收藏页面；跳转闹钟	sleep_music_alarm	college_exam_student	睡前想听会儿歌，做个晚安小组件，点一下进收藏歌单，也能检查明早的闹钟。
N045	音乐	跳转音乐首页；跳转到每日30首和收藏页面	headset_music_shortcut	fitness_runner	出门跑步前，帮我做个耳机音乐卡片，先看耳机有没有连上，然后直接进每日推荐。
N046	音乐	跳转音乐首页；模式切换（免打扰、睡眠、学习）	music_focus_sleep	office_worker	午休想听点轻松的，做个午休音乐卡片，能快速进音乐，也能顺手切到免打扰。
N047	导航	查询日程；跳转去导航	schedule_location_navigation	office_worker	下一场会在园区另一栋楼，帮我做个会议导航卡片，看到地点后能直接导航过去。
N048	导航	跳转到备忘录；跳转去导航	memo_location_navigation	novice_renter	周末要去看房，做个看房卡片，从备忘录找到地址，点一下就导航过去。
N049	导航	跳转去导航	current_location_navigation	frequent_business_traveler	刚出机场不熟路，帮我做个出行卡片，从当前位置直接导航去酒店。
N050	导航	跳转去导航；拨打电话	arrival_contact_navigation	field_sales_worker	去客户公司怕走错门，做个拜访小组件，能直接导航，快到时也能打电话。
N051	导航	跳转去导航；拨打电话；一键开启省电模式	low_battery_trip_guard	short_trip_errand_user	手机快没电了还得赶回家，做个返程卡片，能导航回家、联系家人，也能顺手开省电。
N052	导航	跳转到相机界面；跳转去导航	spot_shooting_return	freelance_creator	黄金时刻快到了，做个拍摄行程卡片，到点直接开相机，拍完一键导航返程。
N053	导航	查询日程；跳转去导航	schedule_location_navigation	teacher_trainer	下节课换到另一栋教学楼，做个上课卡片，看到教室后能直接导航。
N054	导航	跳转到备忘录；跳转去导航	memo_location_navigation	pet_owner	周末要带猫去打针，做个就诊卡片，从备忘录看地址和要带的东西，点一下开始导航。
N055	导航	跳转去导航	current_location_navigation	delivery_ride_worker	下一单在附近商场，帮我做个跑单卡片，从我现在的位置直接导航过去。
N056	导航	跳转去导航；拨打电话	arrival_contact_navigation	retired_senior	今天去新医院复诊，帮我做个出行卡片，能导航到门诊楼，必要时直接打电话问路。
N057	导航	跳转去导航；拨打电话；一键开启省电模式	low_battery_trip_guard	delivery_ride_worker	跑单跑到快没电，做个应急小组件，能导航回站点、联系队友，还能一键开省电。
N058	导航	跳转到相机界面；跳转去导航	spot_shooting_return	urban_fashion_woman	想去新开的展览拍照，做个探店卡片，到地方能快速开相机，结束后直接导航回家。
N059	系统设置	开启专注免打扰开关	driving_focus_mode	car_commuter	刚上车准备开高速，帮我做个驾驶模式卡片，点一下就开免打扰。
N060	系统设置	跳到设置健康使用设备页面	app_usage_overlimit	gen_z_student	最近刷短视频有点过头，做个用机时长卡片，看看今天用了多久，点一下去设置限制。
